time,x gyro vals,x gyro mean offset,y gyro vals,y gyro mean offset,z gyro vals,z gyro mean offset
0,6.251908397,6.385619306,1.763358779,2.094557991,-0.244274809,-0.318640729
1,6.328244275,6.385619306,1.702290076,2.094557991,-0.328244275,-0.318640729
2,6.358778626,6.385619306,1.854961832,2.094557991,-0.305343511,-0.318640729
3,6.282442748,6.385619306,2.27480916,2.094557991,-0.374045802,-0.318640729
4,6.34351145,6.385619306,1.694656489,2.094557991,-0.198473282,-0.318640729
5,6.465648855,6.385619306,2.244274809,2.094557991,-0.480916031,-0.318640729
6,6.396946565,6.385619306,2.145038168,2.094557991,-0.305343511,-0.318640729
7,6.419847328,6.385619306,1.816793893,2.094557991,-0.396946565,-0.318640729
8,6.374045802,6.385619306,1.961832061,2.094557991,-0.496183206,-0.318640729
9,6.381679389,6.385619306,2.114503817,2.094557991,-0.160305344,-0.318640729
10,6.335877863,6.385619306,2.007633588,2.094557991,-0.305343511,-0.318640729
11,6.282442748,6.385619306,1.893129771,2.094557991,-0.099236641,-0.318640729
12,6.366412214,6.385619306,2.213740458,2.094557991,-0.473282443,-0.318640729
13,6.419847328,6.385619306,3.877862595,2.094557991,-0.20610687,-0.318640729
14,6.083969466,6.385619306,3.854961832,2.094557991,-0.259541985,-0.318640729
15,6.480916031,6.385619306,1.557251908,2.094557991,-0.595419847,-0.318640729
16,6.709923664,6.385619306,0.022900763,2.094557991,-0.213740458,-0.318640729
17,6.480916031,6.385619306,2.152671756,2.094557991,-0.450381679,-0.318640729
18,6.312977099,6.385619306,2.152671756,2.094557991,-0.267175573,-0.318640729
19,6.557251908,6.385619306,1.961832061,2.094557991,-0.396946565,-0.318640729
20,6.633587786,6.385619306,1.65648855,2.094557991,-0.229007634,-0.318640729
21,6.381679389,6.385619306,2.022900763,2.094557991,-0.267175573,-0.318640729
22,6.442748092,6.385619306,2.122137405,2.094557991,-0.221374046,-0.318640729
23,6.496183206,6.385619306,0.007633588,2.094557991,-0.183206107,-0.318640729
24,6.396946565,6.385619306,3.809160305,2.094557991,-0.27480916,-0.318640729
25,6.290076336,6.385619306,3.870229008,2.094557991,-0.229007634,-0.318640729
26,6.389312977,6.385619306,2.091603053,2.094557991,-0.221374046,-0.318640729
27,6.335877863,6.385619306,2.122137405,2.094557991,-0.328244275,-0.318640729
28,6.244274809,6.385619306,1.893129771,2.094557991,-0.641221374,-0.318640729
29,6.328244275,6.385619306,2.320610687,2.094557991,-0.351145038,-0.318640729
