time,x gyro vals,x gyro mean offset,y gyro vals,y gyro mean offset,z gyro vals,z gyro mean offset
0,6.534351145,6.384141837,1.923664122,2.135434622,-0.229007634,-0.380448165
1,6.41221374,6.384141837,2,2.135434622,-0.358778626,-0.380448165
2,6.465648855,6.384141837,1.923664122,2.135434622,-0.076335878,-0.380448165
3,6.503816794,6.384141837,2.099236641,2.135434622,-0.076335878,-0.380448165
4,6.198473282,6.384141837,1.938931298,2.135434622,-0.229007634,-0.380448165
5,6.335877863,6.384141837,2.015267176,2.135434622,-0.389312977,-0.380448165
6,6.702290076,6.384141837,3.893129771,2.135434622,-0.305343511,-0.380448165
7,6.396946565,6.384141837,1.938931298,2.135434622,-0.511450382,-0.380448165
8,6.305343511,6.384141837,1.885496183,2.135434622,-0.358778626,-0.380448165
9,6.557251908,6.384141837,1.969465649,2.135434622,-0.198473282,-0.380448165
10,6,6.384141837,2.06870229,2.135434622,-0.351145038,-0.380448165
11,6.267175573,6.384141837,1.86259542,2.135434622,-0.27480916,-0.380448165
12,6.366412214,6.384141837,0.038167939,2.135434622,-0.282442748,-0.380448165
13,6.572519084,6.384141837,2.091603053,2.135434622,-0.312977099,-0.380448165
14,6.564885496,6.384141837,3.877862595,2.135434622,-0.305343511,-0.380448165
15,6.351145038,6.384141837,1.854961832,2.135434622,-0.389312977,-0.380448165
16,6.236641221,6.384141837,1.923664122,2.135434622,-0.335877863,-0.380448165
17,6.381679389,6.384141837,1.801526718,2.135434622,-0.251908397,-0.380448165
18,6.251908397,6.384141837,3.809160305,2.135434622,-0.129770992,-0.380448165
19,6.267175573,6.384141837,1.809160305,2.135434622,-0.190839695,-0.380448165
20,6.389312977,6.384141837,3.86259542,2.135434622,-0.34351145,-0.380448165
21,6.366412214,6.384141837,0.022900763,2.135434622,-0.167938931,-0.380448165
22,6.389312977,6.384141837,1.770992366,2.135434622,-0.259541985,-0.380448165
23,6.488549618,6.384141837,2.038167939,2.135434622,-0.038167939,-0.380448165
24,6.396946565,6.384141837,2.06870229,2.135434622,-0.335877863,-0.380448165
25,6.427480916,6.384141837,1.954198473,2.135434622,-0.251908397,-0.380448165
26,6.20610687,6.384141837,2.045801527,2.135434622,-0.480916031,-0.380448165
27,6.519083969,6.384141837,3.839694656,2.135434622,-0.259541985,-0.380448165
28,6.290076336,6.384141837,1.801526718,2.135434622,-1.93129771,-0.380448165
29,6.442748092,6.384141837,2.030534351,2.135434622,-1.885496183,-0.380448165
