time,x gyro vals,x gyro mean offset,y gyro vals,y gyro mean offset,z gyro vals,z gyro mean offset
0,6.732824427480916,6.2971421361428295,2.0763358778625953,1.9587407734527786,-0.16793893129770993,-0.16983155636868338
1,5.9541984732824424,6.2971421361428295,1.5419847328244274,1.9587407734527786,0.06870229007633588,-0.16983155636868338
2,6.396946564885496,6.2971421361428295,2.0,1.9587407734527786,-0.42748091603053434,-0.16983155636868338
3,5.801526717557252,6.2971421361428295,1.8549618320610688,1.9587407734527786,-0.44274809160305345,-0.16983155636868338
4,7.106870229007634,6.2971421361428295,1.8702290076335877,1.9587407734527786,-0.5114503816793893,-0.16983155636868338
5,7.152671755725191,6.2971421361428295,1.6946564885496183,1.9587407734527786,-0.183206106870229,-0.16983155636868338
6,6.679389312977099,6.2971421361428295,2.1297709923664123,1.9587407734527786,-0.20610687022900764,-0.16983155636868338
7,6.702290076335878,6.2971421361428295,1.6717557251908397,1.9587407734527786,-0.24427480916030533,-0.16983155636868338
8,6.450381679389313,6.2971421361428295,0.022900763358778626,1.9587407734527786,-0.33587786259541985,-0.16983155636868338
9,6.190839694656488,6.2971421361428295,2.030534351145038,1.9587407734527786,-0.19083969465648856,-0.16983155636868338
10,6.091603053435114,6.2971421361428295,1.816793893129771,1.9587407734527786,-0.06870229007633588,-0.16983155636868338
11,6.458015267175573,6.2971421361428295,2.145038167938931,1.9587407734527786,-0.19083969465648856,-0.16983155636868338
12,7.129770992366412,6.2971421361428295,2.053435114503817,1.9587407734527786,-0.15267175572519084,-0.16983155636868338
13,5.67175572519084,6.2971421361428295,3.763358778625954,1.9587407734527786,-0.04580152671755725,-0.16983155636868338
14,5.923664122137405,6.2971421361428295,1.816793893129771,1.9587407734527786,-0.26717557251908397,-0.16983155636868338
15,7.030534351145038,6.2971421361428295,3.854961832061069,1.9587407734527786,-0.12213740458015267,-0.16983155636868338
16,6.183206106870229,6.2971421361428295,2.0076335877862594,1.9587407734527786,-0.45038167938931295,-0.16983155636868338
17,6.152671755725191,6.2971421361428295,2.114503816793893,1.9587407734527786,-0.29770992366412213,-0.16983155636868338
18,6.450381679389313,6.2971421361428295,2.1603053435114505,1.9587407734527786,-0.20610687022900764,-0.16983155636868338
19,6.809160305343512,6.2971421361428295,1.8473282442748091,1.9587407734527786,-0.12213740458015267,-0.16983155636868338
20,6.122137404580153,6.2971421361428295,1.9083969465648856,1.9587407734527786,-0.21374045801526717,-0.16983155636868338
21,6.763358778625954,6.2971421361428295,1.916030534351145,1.9587407734527786,-0.26717557251908397,-0.16983155636868338
22,6.320610687022901,6.2971421361428295,2.045801526717557,1.9587407734527786,-0.2900763358778626,-0.16983155636868338
23,5.786259541984733,6.2971421361428295,2.213740458015267,1.9587407734527786,-0.20610687022900764,-0.16983155636868338
24,6.5038167938931295,6.2971421361428295,1.9312977099236641,1.9587407734527786,0.007633587786259542,-0.16983155636868338
25,7.916030534351145,6.2971421361428295,1.8091603053435115,1.9587407734527786,-0.21374045801526717,-0.16983155636868338
26,7.190839694656488,6.2971421361428295,2.099236641221374,1.9587407734527786,-0.1297709923664122,-0.16983155636868338
27,7.778625954198473,6.2971421361428295,2.114503816793893,1.9587407734527786,-0.16793893129770993,-0.16983155636868338
28,6.1679389312977095,6.2971421361428295,1.9923664122137406,1.9587407734527786,-0.366412213740458,-0.16983155636868338
29,6.412213740458015,6.2971421361428295,1.8091603053435115,1.9587407734527786,-0.24427480916030533,-0.16983155636868338
30,6.633587786259542,6.2971421361428295,1.9083969465648856,1.9587407734527786,-0.25190839694656486,-0.16983155636868338
31,6.374045801526718,6.2971421361428295,1.8702290076335877,1.9587407734527786,-0.08396946564885496,-0.16983155636868338
32,6.8320610687022905,6.2971421361428295,1.7786259541984732,1.9587407734527786,-0.04580152671755725,-0.16983155636868338
33,6.519083969465649,6.2971421361428295,2.1526717557251906,1.9587407734527786,-0.22900763358778625,-0.16983155636868338
34,6.541984732824427,6.2971421361428295,1.6717557251908397,1.9587407734527786,-0.22900763358778625,-0.16983155636868338
35,5.732824427480916,6.2971421361428295,2.068702290076336,1.9587407734527786,-0.3435114503816794,-0.16983155636868338
36,6.320610687022901,6.2971421361428295,2.145038167938931,1.9587407734527786,-0.366412213740458,-0.16983155636868338
37,6.99236641221374,6.2971421361428295,1.984732824427481,1.9587407734527786,-0.4351145038167939,-0.16983155636868338
38,6.251908396946565,6.2971421361428295,1.9923664122137406,1.9587407734527786,-0.17557251908396945,-0.16983155636868338
39,5.793893129770993,6.2971421361428295,1.83206106870229,1.9587407734527786,-0.4351145038167939,-0.16983155636868338
40,5.076335877862595,6.2971421361428295,3.801526717557252,1.9587407734527786,-0.2748091603053435,-0.16983155636868338
41,6.175572519083969,6.2971421361428295,1.8625954198473282,1.9587407734527786,-0.33587786259541985,-0.16983155636868338
42,6.9541984732824424,6.2971421361428295,0.07633587786259542,1.9587407734527786,-0.1297709923664122,-0.16983155636868338
