time,x gyro vals,x gyro mean offset,y gyro vals,y gyro mean offset,z gyro vals,z gyro mean offset
0,6.541984733,6.399901502,1.763358779,2.165476484,-0.351145038,-0.236148732
1,6.511450382,6.399901502,1.961832061,2.165476484,-0.076335878,-0.236148732
2,6.58778626,6.399901502,2.022900763,2.165476484,-0.366412214,-0.236148732
3,6.366412214,6.399901502,2.091603053,2.165476484,-0.251908397,-0.236148732
4,6.328244275,6.399901502,1.832061069,2.165476484,-0.20610687,-0.236148732
5,6.27480916,6.399901502,3.885496183,2.165476484,-0.13740458,-0.236148732
6,6.496183206,6.399901502,2.160305344,2.165476484,-0.351145038,-0.236148732
7,6.541984733,6.399901502,2.091603053,2.165476484,-0.229007634,-0.236148732
8,6.618320611,6.399901502,1.770992366,2.165476484,-0.312977099,-0.236148732
9,6.229007634,6.399901502,2.167938931,2.165476484,-0.061068702,-0.236148732
10,6.435114504,6.399901502,1.893129771,2.165476484,-0.251908397,-0.236148732
11,6.175572519,6.399901502,2.106870229,2.165476484,-0.312977099,-0.236148732
12,5.946564885,6.399901502,3.885496183,2.165476484,-0.396946565,-0.236148732
13,6.519083969,6.399901502,2.015267176,2.165476484,-0.13740458,-0.236148732
14,6.442748092,6.399901502,2.13740458,2.165476484,-0.106870229,-0.236148732
15,6.244274809,6.399901502,2.145038168,2.165476484,-0.114503817,-0.236148732
16,6.534351145,6.399901502,2.099236641,2.165476484,-0.198473282,-0.236148732
17,6.404580153,6.399901502,1.954198473,2.165476484,-0.099236641,-0.236148732
18,6.236641221,6.399901502,2.145038168,2.165476484,-0.282442748,-0.236148732
19,6.534351145,6.399901502,1.870229008,2.165476484,-0.236641221,-0.236148732
20,6.312977099,6.399901502,3.854961832,2.165476484,-0.122137405,-0.236148732
21,6.34351145,6.399901502,2.114503817,2.165476484,-0.213740458,-0.236148732
22,6.442748092,6.399901502,1.992366412,2.165476484,-0.122137405,-0.236148732
23,6.526717557,6.399901502,2.015267176,2.165476484,-0.465648855,-0.236148732
24,6.458015267,6.399901502,1.923664122,2.165476484,-0.229007634,-0.236148732
25,6.366412214,6.399901502,1.900763359,2.165476484,-0.213740458,-0.236148732
26,6.450381679,6.399901502,1.977099237,2.165476484,-0.083969466,-0.236148732
27,6.229007634,6.399901502,1.900763359,2.165476484,-0.519083969,-0.236148732
28,6.526717557,6.399901502,1.877862595,2.165476484,-0.419847328,-0.236148732
29,6.335877863,6.399901502,1.86259542,2.165476484,-0.152671756,-0.236148732
