time,x gyro vals,x gyro mean offset,y gyro vals,y gyro mean offset,z gyro vals,z gyro mean offset
0,0.0,5.94731573019647,0.0,1.7050431735702667,0.0,-0.3376298335627581
1,6.32824427480916,5.94731573019647,1.7328244274809161,1.7050431735702667,-0.6183206106870229,-0.3376298335627581
2,6.366412213740458,5.94731573019647,1.6870229007633588,1.7050431735702667,-0.007633587786259542,-0.3376298335627581
3,6.022900763358779,5.94731573019647,3.648854961832061,1.7050431735702667,-0.48854961832061067,-0.3376298335627581
4,6.290076335877862,5.94731573019647,1.984732824427481,1.7050431735702667,-0.32061068702290074,-0.3376298335627581
5,6.229007633587786,5.94731573019647,1.8625954198473282,1.7050431735702667,-0.24427480916030533,-0.3376298335627581
6,6.358778625954199,5.94731573019647,1.7404580152671756,1.7050431735702667,-0.31297709923664124,-0.3376298335627581
7,6.221374045801527,5.94731573019647,1.702290076335878,1.7050431735702667,-0.2595419847328244,-0.3376298335627581
8,6.595419847328245,5.94731573019647,1.4580152671755726,1.7050431735702667,-0.2824427480916031,-0.3376298335627581
9,6.343511450381679,5.94731573019647,1.8549618320610688,1.7050431735702667,-0.32061068702290074,-0.3376298335627581
10,6.114503816793893,5.94731573019647,1.7633587786259541,1.7050431735702667,-0.6564885496183206,-0.3376298335627581
11,6.137404580152672,5.94731573019647,1.7404580152671756,1.7050431735702667,-0.4961832061068702,-0.3376298335627581
12,6.32824427480916,5.94731573019647,1.8396946564885497,1.7050431735702667,-0.22137404580152673,-0.3376298335627581
13,6.351145038167939,5.94731573019647,0.022900763358778626,1.7050431735702667,-0.3511450381679389,-0.3376298335627581
14,6.129770992366412,5.94731573019647,0.06870229007633588,1.7050431735702667,-0.3282442748091603,-0.3376298335627581
15,3.9923664122137406,5.94731573019647,1.5648854961832062,1.7050431735702667,-0.17557251908396945,-0.3376298335627581
16,6.183206106870229,5.94731573019647,1.7709923664122138,1.7050431735702667,-0.25190839694656486,-0.3376298335627581
17,6.083969465648855,5.94731573019647,1.900763358778626,1.7050431735702667,-0.40458015267175573,-0.3376298335627581
18,6.145038167938932,5.94731573019647,1.702290076335878,1.7050431735702667,-0.3282442748091603,-0.3376298335627581
19,6.106870229007634,5.94731573019647,1.900763358778626,1.7050431735702667,-0.35877862595419846,-0.3376298335627581
20,6.251908396946565,5.94731573019647,1.6106870229007633,1.7050431735702667,-0.2748091603053435,-0.3376298335627581
21,6.0458015267175576,5.94731573019647,1.8549618320610688,1.7050431735702667,-0.40458015267175573,-0.3376298335627581
22,6.3893129770992365,5.94731573019647,1.6259541984732824,1.7050431735702667,-0.26717557251908397,-0.3376298335627581
23,6.175572519083969,5.94731573019647,0.007633587786259542,1.7050431735702667,-0.48091603053435117,-0.3376298335627581
24,6.206106870229007,5.94731573019647,1.7633587786259541,1.7050431735702667,-0.44274809160305345,-0.3376298335627581
25,6.488549618320611,5.94731573019647,1.5419847328244274,1.7050431735702667,-0.31297709923664124,-0.3376298335627581
26,6.129770992366412,5.94731573019647,1.786259541984733,1.7050431735702667,-0.5877862595419847,-0.3376298335627581
27,5.885496183206107,5.94731573019647,3.7557251908396947,1.7050431735702667,-0.5114503816793893,-0.3376298335627581
28,6.343511450381679,5.94731573019647,1.6946564885496183,1.7050431735702667,-0.3053435114503817,-0.3376298335627581
29,6.267175572519084,5.94731573019647,1.6870229007633588,1.7050431735702667,-0.42748091603053434,-0.3376298335627581
30,5.977099236641221,5.94731573019647,1.702290076335878,1.7050431735702667,-0.40458015267175573,-0.3376298335627581
31,6.236641221374046,5.94731573019647,3.83206106870229,1.7050431735702667,-0.24427480916030533,-0.3376298335627581
32,6.351145038167939,5.94731573019647,3.7709923664122136,1.7050431735702667,-0.11450381679389313,-0.3376298335627581
33,6.099236641221374,5.94731573019647,1.8625954198473282,1.7050431735702667,-0.5114503816793893,-0.3376298335627581
34,6.1603053435114505,5.94731573019647,1.8244274809160306,1.7050431735702667,-0.4732824427480916,-0.3376298335627581
35,4.030534351145038,5.94731573019647,1.7251908396946565,1.7050431735702667,-0.3816793893129771,-0.3376298335627581
36,6.099236641221374,5.94731573019647,1.9236641221374047,1.7050431735702667,-0.16030534351145037,-0.3376298335627581
